Name,Company,Role,Source URL,Fit Rationale,Pain Hypothesis,Contact Method,Personalized Opener,Status,Next Action
Addy Osmani,Google,Director of Engineering (Chrome),https://www.linkedin.com/in/addyosmani/,Influential eng leader at Google.,Engineering standards for AI-generated code.,LinkedIn DM,"Addy - following your thoughts on AI engineering standards. I've built a Grok Skill that audits agent sessions for deviations from those standards.",Sent,Follow up in 48h
Edward Morris,Enigmatica,Founder,https://www.linkedin.com/in/edwardmorris/,LinkedIn Top Voice for Prompt Engineering.,High client token bills from unoptimized loops.,LinkedIn DM,"Edward - congrats on the Top Voice recognition. I'm building ThumbGate to intercept and block the 'repeat offender' agent patterns that bloat client bills.",Sent,Follow up in 48h
John Collins,Deep Vertical AI,Founder,https://www.linkedin.com/in/johncollins/,Specializes in enterprise AI reasoning across vision/text.,Enterprise clients demand cost transparency and reliability.,LinkedIn DM,"John - saw your work on vertical AI reasoning. Built a Grok Skill to audit agent sessions for the 'hallucinated retry' tax that enterprises hate.",Sent,Follow up in 48h
Jennifer Meyers,A&MPLIFY,Co-founder,https://www.linkedin.com/in/jennifer-meyers/,Leads AI-powered digital growth agency.,Scaling AI for clients without technical debt or cost spikes.,LinkedIn DM,Jennifer - read about A&MPLIFY's focus on AI value capture. I've built a pre-action gate (ThumbGate) that ensures agent loops don't burn tokens on solved problems.,Sent,Follow up in 48h
Sergio Suarez, Jr.,TackleAI,CEO,https://www.linkedin.com/in/sergiosuarezjr/,Automates repetitive work with unstructured data.,Maintaining reliability in complex automation workflows.,LinkedIn DM,Sergio - TackleAI's focus on unstructured data automation is impressive. I've built an OSS gate to intercept tool calls and prevent agent 'infinite loops' in those workflows.,Sent,Follow up in 48h
Marek Sadowski,Sigmoidal,Founder,https://www.linkedin.com/in/mareksadowski/,Leading AI consultancy for supply chain/healthcare.,Reliability and safety in regulated AI implementations.,LinkedIn DM,Marek - saw Sigmoidal's work on AI in supply chains. I'm building ThumbGate as a safety layer for tool calls to ensure agents stay within operational bounds.,Sent,Follow up in 48h
Larry Kim,Customers.ai,CEO,https://www.linkedin.com/in/larrykim/,Focuses on AI-powered sales outreach.,Cost-per-lead spikes due to agent hallucinations.,LinkedIn DM,Larry - been following your AI outreach strategies. I've built a tool to audit the 'agent tax' (repeated LLM calls for the same context) to lower CAC.,Sent,Follow up in 48h
Cathy Hackl,Journey,CEO,https://www.linkedin.com/in/cathyhackl/,Leading spatial computing and AI agency.,Brand safety and token costs in interactive AI experiences.,LinkedIn DM,Cathy - love your work at Journey on spatial AI. I'm building ThumbGate to provide a 'safety gate' for agent tool calls in interactive environments.,Sent,Follow up in 48h
Allie K. Miller,AI Advisor,Independent Advisor,https://www.linkedin.com/in/alliekmiller/,Top AI advisor to Fortune 500s.,Enterprises are wary of 'runaway' agent costs and errors.,LinkedIn DM,Allie - following your advice on AI strategy for F500s. I've built an OSS 'guardrail' (ThumbGate) that helps enterprises block costly agent retry loops.,Sent,Follow up in 48h
Andrew Ng,Landing AI,Founder,https://www.linkedin.com/in/andrewng/,AI Pioneer; focuses on practical AI adoption.,Need for systematic 'agentic' engineering standards.,LinkedIn DM,Andrew - your 'agentic workflow' talk inspired me. I've built ThumbGate to implement the 'pre-action evaluation' pattern you mentioned as a standard tool.,Sent,Follow up in 48h
Cassie Kozyrkov,Kozyr,Founder,https://www.linkedin.com/in/kozyrkov/,Decision Intelligence expert.,Agents making bad 'decisions' in the tool-use loop.,LinkedIn DM,Cassie - your work on Decision Intelligence is foundational. I'm applying it to agentic tool calls with a pre-action gate called ThumbGate.,Sent,Follow up in 48h
Sam Petrenko,Fractional AI,Fractional CTO,https://www.linkedin.com/in/sampetrenko/,Builds custom GenAI solutions for startups.,Startups burn cash on unoptimized LLM calls.,LinkedIn DM,Sam - love the 'Fractional AI' model. I've built a Grok Skill that audits agent sessions for token waste—perfect for keeping startup burn under control.,Targeted,Draft DM
Chris Maconi,Independent,Fractional CTO,https://www.linkedin.com/in/chrismaconi/,Specializes in B2B SaaS and AI technical due diligence.,VCs asking about 'moats' vs 'wrappers' and cost efficiency.,LinkedIn DM,Chris - saw your focus on AI technical due diligence. I've built a tool to quantify 'agent efficiency'—helping startups prove they aren't just burning tokens.,Targeted,Draft DM
Bryan Dennstedt,Independent,Fractional CTO,https://www.linkedin.com/in/bryandennstedt/,Known for AI strategy and human-centered development.,Human-in-the-loop bottlenecks vs autonomous agent risks.,LinkedIn DM,Bryan - your 'human-centered AI' approach is key. I'm building ThumbGate to enable 'seamless intervention' for agent tool calls without stopping the loop.,Targeted,Draft DM
Sam Rose,Supabase,Platform Engineer,https://www.linkedin.com/in/samuelrose/,Formalizing Supabase's platform engineering strategy.,Scaling database-heavy AI apps with low latency/cost.,LinkedIn DM,Sam - following Supabase's AI expansion. I'm building an OSS gate (ThumbGate) that intercepts tool calls—might be a fit for the 'AI Platform' layer you're building.,Targeted,Draft DM
Paul Cioanca,Supabase,Platform Engineer,https://www.linkedin.com/in/paulcioanca/,Infrastructure team; focuses on multi-region deployment.,Global agent deployments hitting high latency/cost in retries.,LinkedIn DM,Paul - saw your work on Supabase's multi-region infra. I've built a tool to audit and block 'redundant agent loops' that drive up latency and cost.,Targeted,Draft DM
Dillon Mulroy,Vercel,Software Engineer,https://www.linkedin.com/in/dmulroy/,Key infrastructure engineer at Vercel.,Ensuring deployment reliability with agentic systems.,LinkedIn DM,Dillon - following your work on Vercel's infra. I'm building ThumbGate as a pre-action safety layer for the 'agentic infrastructure' your team is exploring.,Targeted,Draft DM
Mo Abukar,Vercel,Staff Platform Engineer,https://www.linkedin.com/in/moabukar/,Maintainer of cloud-native tools; focuses on K8s.,Agentic workflows in Kubernetes environments.,LinkedIn DM,Mo - saw your work with K8s and Vercel. I'm building an OSS 'gate' for agents using tools in cloud-native environments to prevent runaway resource consumption.,Targeted,Draft DM
Iulian Marcu,Vercel,Staff Platform Engineer,https://www.linkedin.com/in/iulianmarcu/,Architecting scalable cloud infrastructure.,Monorepo agent costs and CI/CD agent safety.,LinkedIn DM,Iulian - your work on scalable monorepos at Vercel is great. I've built ThumbGate to act as a 'safety check' for agents operating in large-scale codebases.,Targeted,Draft DM
Daniel Tran,Vercel,AI Platform Engineer,https://www.linkedin.com/in/danieltran/,Specializes in scalable product architecture and AI.,Reliability of Next.js + AI SDK agent loops.,LinkedIn DM,Daniel - following your AI Platform work at Vercel. I've built a tool that integrates with the AI SDK to catch 'infinite retry' loops before they hit the bill.,Targeted,Draft DM
Charith Amarasinghe,Railway,Platform Engineer,https://www.linkedin.com/in/charithamarasinghe/,Responsible for core orchestration at Railway.,Agents spawning unmanaged tasks/costs in Railway projects.,LinkedIn DM,Charith - Railway's orchestration is the best. I'm building a 'gate' for agents using tools (ThumbGate) to ensure they don't spawn runaway costs on your platform.,Targeted,Draft DM
Miguel Casqueira,Railway,Infrastructure Engineer,https://www.linkedin.com/in/miguelcasqueira/,Built Railway's SSH and App Sleeping features.,Resource waste from 'zombie' agent processes.,LinkedIn DM,Miguel - loved the 'App Sleeping' feature. I'm building 'ThumbGate' to help agents 'sleep' on redundant tasks and save token costs.,Targeted,Draft DM
Phineas Walton,Railway,Infrastructure Engineer,https://www.linkedin.com/in/phineaswalton/,Focuses on Railway's core infra.,Parallelized agent task explosion.,LinkedIn DM,Phineas - following Railway's infra growth. I've built a pre-action gate for agent tool calls to manage the 'blast radius' of autonomous tasks.,Targeted,Draft DM
Pierre Borckmans,Railway,Infrastructure Engineer,https://www.linkedin.com/in/pierreborckmans/,Focuses on Railway's core infra.,Scaling agentic workflows on Railway.,LinkedIn DM,Pierre - saw your work on Railway's infra. I'm building an OSS safety layer (ThumbGate) to prevent agentic workflows from hitting 'token loops'.,Targeted,Draft DM
Ed Ganiukov,Railway,Infrastructure Engineer,https://www.linkedin.com/in/eganiukov/,Focuses on Railway's core infra.,Maintaining state in long-running agent loops.,LinkedIn DM,Ed - saw your work at Railway. I've built a tool to capture 'lessons' from agent failures so they don't repeat the same costly mistake in the next loop.,Targeted,Draft DM
Lawrence Gripper,Railway,Infrastructure Engineer,https://www.linkedin.com/in/lawrencegripper/,Focuses on Railway's core infra.,Tool-use safety and security for agents.,LinkedIn DM,Lawrence - saw your infra work at Railway. I'm building ThumbGate as a 'security and cost gate' for agents executing tool calls in production.,Targeted,Draft DM
Lucas Jacques,Railway,Infrastructure Engineer,https://www.linkedin.com/in/lucasjacques/,Focuses on Railway's core infra.,Observability for agentic tool calls.,LinkedIn DM,Lucas - following Railway's infra team. I've built an observability tool for agents that flags 'repeated pattern' token waste in real-time.,Targeted,Draft DM
William McCall,Railway,Infrastructure Engineer,https://www.linkedin.com/in/williammccall/,Focuses on Railway's core infra.,Cost control for agentic systems.,LinkedIn DM,William - saw your work at Railway. I'm building an OSS 'gate' to block agents from making the same expensive API call twice in a single session.,Targeted,Draft DM
Ben Firshman,Replicate,CEO,https://www.linkedin.com/in/bfirshman/,Creator of Docker Compose; Co-founder of Replicate.,High inference costs from 'try-retry' agent loops.,LinkedIn DM,Ben - big fan of Cog/Replicate. I'm building ThumbGate to help users avoid 'inference waste' by blocking redundant agent retry loops.,Targeted,Draft DM
Andreas Jansson,Replicate,CTO,https://www.linkedin.com/in/andreasjansson/,Former ML Lead at Spotify.,Model reliability and 'reasoning' loops.,LinkedIn DM,Andreas - loved your work on ML at Spotify. I've built a 'pre-action evaluation' gate for agents using Replicate models to catch errors early.,Targeted,Draft DM
Morgan Fainberg,Replicate,Infrastructure Engineer,https://www.linkedin.com/in/morganfainberg/,Scalable cloud and webhooks infrastructure.,Runaway webhooks from agent loops.,LinkedIn DM,Morgan - saw your work on Replicate's infra. I'm building a safety gate (ThumbGate) to prevent agents from triggering 'webhook storms' during retries.,Targeted,Draft DM
Dmitri Khokhlov,Replicate,Infrastructure Engineer,https://www.linkedin.com/in/dmitrikhokhlov/,Focuses on Replicate's core infra.,GPU resource management for agents.,LinkedIn DM,Dmitri - following Replicate's infra growth. I've built a tool to audit 'agent efficiency' and prevent GPU time waste on hallucinated loops.,Targeted,Draft DM
Adriano Sanches,Replicate,DevOps,https://www.linkedin.com/in/adrianosanches/,Managing Replicate's deployment pipelines.,CI/CD agent safety.,LinkedIn DM,Adriano - saw your DevOps work at Replicate. I'm building an OSS gate (ThumbGate) to ensure agents in CI/CD don't perform destructive actions.,Targeted,Draft DM
Jasper Gilley,Replicate,ML Engineer,https://www.linkedin.com/in/jaspergilley/,Focuses on model implementation.,Fine-tuning agents to avoid 'repetition tax'.,LinkedIn DM,Jasper - saw your ML work at Replicate. I've built a 'lesson capture' system for agents that automatically converts a 'thumbs down' into a prevention rule.,Targeted,Draft DM
Wendy Dherin,Replicate,Software Engineer,https://www.linkedin.com/in/wdherin/,Building Replicate's user-facing platform.,Developer experience with 'reliable' agents.,LinkedIn DM,Wendy - saw your work on Replicate's platform. I'm building a 'safety layer' for agentic tool calls to make them more reliable for your users.,Targeted,Draft DM
Zen van Riel,Independent,Senior AI Engineer,https://www.linkedin.com/in/zenvanriel/,Expert in RAG architecture and AI safety.,Hallucinated imports/retries in RAG sessions.,LinkedIn DM,Zen - saw your work on RAG architecture. I've built ThumbGate to intercept tool calls and block the 'repeat hallucinations' that plague RAG agents.,Targeted,Draft DM
Shawn Wang (Swyx),AI Engineer Foundation,Founder,https://www.linkedin.com/in/shawnswang/,Coined 'AI Engineer'.,Standardizing the AI Engineer stack.,LinkedIn DM,Shawn - 'AI Engineer' is the right framing. I'm building ThumbGate as a core piece of the 'Agentic Stack' to handle pre-action safety and cost control.,Targeted,Draft DM
Master Prince,Applied AI,AI Engineer,https://www.linkedin.com/in/masterprince/,Focuses on multi-agent automation.,Multi-agent orchestration 'chatter' and cost.,LinkedIn DM,Prince - saw your work on multi-agent automation. I've built a 'gate' to reduce the 'agent chatter' tax and block redundant tool calls.,Targeted,Draft DM
Abdullah James,Independent,AI Developer,https://www.linkedin.com/in/abdullahjames/,Next.js and RL expert.,RL loops burning tokens on 'solved' states.,LinkedIn DM,Abdullah - saw your RL + Next.js work. I've built a tool to audit agent 'state memory' and block redundant calls that drive up token costs.,Targeted,Draft DM
Bilend M. Abdullah,Independent,AI Engineer,https://www.linkedin.com/in/bilendm/,MSc in AI; Focuses on Computer Vision and Next.js.,Vision agent 're-look' costs.,LinkedIn DM,Bilend - saw your work on CV and Next.js. I'm building ThumbGate to prevent vision agents from 're-processing' the same frames/states unnecessarily.,Targeted,Draft DM
Taakila Mugo,Independent,AI Engineer,https://www.linkedin.com/in/taakilamugo/,Generative UI and Vercel AI SDK expert.,GenUI 'flicker' and cost from rapid agent retries.,LinkedIn DM,Taakila - love your work with the Vercel AI SDK. I've built a gate that catches 'runaway UI loops' at the tool-call layer to save tokens.,Targeted,Draft DM
